Phylum,Assembly
Basidiomycota,GCA_022606235.1
Basidiomycota,GCA_003144295.1
Basidiomycota,GCF_003144295.1
Basidiomycota,GCA_029945375.1
Basidiomycota,GCA_000300575.1
Basidiomycota,GCF_000300575.1
Basidiomycota,GCA_029719445.1
Basidiomycota,GCA_030246685.1
Basidiomycota,GCA_022315185.1
Basidiomycota,GCA_943193715.1
Basidiomycota,GCA_001682475.1
Basidiomycota,GCA_000300575.2
Basidiomycota,GCA_014872705.1
Basidiomycota,GCA_008271545.1
Basidiomycota,GCA_943193725.1
Basidiomycota,GCA_006491665.1
Basidiomycota,GCA_000300555.1
Basidiomycota,GCF_000300555.1
Basidiomycota,GCA_013053245.1
Basidiomycota,GCA_027627235.1
Basidiomycota,GCA_013376435.1
Basidiomycota,GCA_015484485.1
Basidiomycota,GCA_003316655.1
Basidiomycota,GCA_003314395.1
Basidiomycota,GCA_003314695.1
Basidiomycota,GCA_000827485.1
Basidiomycota,GCA_001983365.1
Basidiomycota,GCA_002554575.1
Basidiomycota,GCA_015039365.1
Basidiomycota,GCA_032173475.1
Basidiomycota,GCA_003316615.1
Basidiomycota,GCA_001691775.3
Basidiomycota,GCA_001691785.3
Basidiomycota,GCA_023014435.1
Basidiomycota,GCA_023014455.1
Basidiomycota,GCA_023014405.1
Basidiomycota,GCA_023014395.1
Basidiomycota,GCA_020011035.1
Basidiomycota,GCA_023014475.1
Basidiomycota,GCA_001691755.2
Basidiomycota,GCA_000497225.1
Basidiomycota,GCA_001691765.1
Basidiomycota,GCA_001983385.1
Basidiomycota,GCA_022376435.1
Basidiomycota,GCA_022385825.1
Basidiomycota,GCA_012932865.1
Basidiomycota,GCA_022598655.1
Basidiomycota,GCA_022598685.1
Basidiomycota,GCA_022598625.1
Basidiomycota,GCA_022598595.1
Basidiomycota,GCA_003413585.1
Basidiomycota,GCA_004802725.1
Basidiomycota,GCA_902506015.1
Basidiomycota,GCA_012064365.1
Basidiomycota,GCA_030435635.1
Basidiomycota,GCA_030407055.1
Basidiomycota,GCA_022818035.1
Basidiomycota,GCA_030407015.1
Basidiomycota,GCA_030407065.1
Basidiomycota,GCA_030435615.1
Basidiomycota,GCA_030435655.1
Basidiomycota,GCA_900157415.1
Basidiomycota,GCA_022818075.1
Basidiomycota,GCA_028551335.1
Basidiomycota,GCA_001679825.1
Basidiomycota,GCA_002307695.1
Basidiomycota,GCA_026212265.1
Basidiomycota,GCA_900157425.1
Basidiomycota,GCA_013427175.2
Basidiomycota,GCA_002307675.1
Basidiomycota,GCA_037042885.1
Basidiomycota,GCA_037042915.1
Basidiomycota,GCA_002092955.1
Basidiomycota,GCA_030578095.1
Basidiomycota,GCA_002287115.1
Basidiomycota,GCA_003316125.1
Basidiomycota,GCA_008368385.1
Basidiomycota,GCA_000265015.1
Basidiomycota,GCF_000265015.1
Basidiomycota,GCA_007026445.1
Basidiomycota,GCA_019915015.1
Basidiomycota,GCA_019914985.1
Basidiomycota,GCA_019915035.1
Basidiomycota,GCA_022160275.1
Basidiomycota,GCA_000826855.1
Basidiomycota,GCA_027924225.1
Basidiomycota,GCA_015179015.1
Basidiomycota,GCA_018397855.1
Basidiomycota,GCA_025782845.1
Basidiomycota,GCA_019096195.1
Basidiomycota,GCA_003316055.1
Basidiomycota,GCA_003313885.1
Basidiomycota,GCA_003316205.1
Basidiomycota,GCA_003316035.1
Basidiomycota,GCA_003313155.1
Basidiomycota,GCA_014925795.1
Basidiomycota,GCA_022837065.1
Basidiomycota,GCA_003316165.1
Basidiomycota,GCA_025371055.2
Basidiomycota,GCA_000697705.1
Basidiomycota,GCA_001630345.1
Basidiomycota,GCA_001632435.1
Basidiomycota,GCA_015039405.1
Basidiomycota,GCF_015039405.1
Basidiomycota,GCA_025174535.1
Basidiomycota,GCA_003314235.1
Basidiomycota,GCA_003521295.1
Basidiomycota,GCA_003314335.1
Basidiomycota,GCA_003314295.1
Basidiomycota,GCA_003144195.1
Basidiomycota,GCF_003144195.1
Basidiomycota,GCA_900000165.1
Basidiomycota,GCA_016906575.1
Basidiomycota,GCA_009078325.1
Basidiomycota,GCA_037039685.1
Basidiomycota,GCA_015039395.1
Basidiomycota,GCA_019616945.1
Basidiomycota,GCA_037042815.1
Basidiomycota,GCA_019623705.1
Basidiomycota,GCA_019616345.1
Basidiomycota,GCA_025200755.1
Basidiomycota,GCA_019616325.1
Basidiomycota,GCA_019677335.1
Basidiomycota,GCA_019677385.1
Basidiomycota,GCA_019677355.1
Basidiomycota,GCA_019616915.1
Basidiomycota,GCA_016906555.1
Basidiomycota,GCA_012932095.1
Basidiomycota,GCA_001969225.1
Basidiomycota,GCA_900068955.1
Basidiomycota,GCA_000271625.1
Basidiomycota,GCF_000271625.1
Basidiomycota,GCA_951394405.1
Basidiomycota,GCA_027627275.1
Basidiomycota,GCA_004369175.1
Basidiomycota,GCA_951394415.1
Basidiomycota,
Basidiomycota,
Basidiomycota,GCA_004369085.1
Basidiomycota,GCA_020736565.1
Basidiomycota,GCA_900156845.1
Basidiomycota,
Basidiomycota,GCA_034638255.1
Basidiomycota,GCA_003316025.1
Basidiomycota,GCA_014925845.1
Basidiomycota,GCA_015657495.1
Basidiomycota,GCA_001179765.1
Basidiomycota,GCA_021029105.1
Basidiomycota,GCA_015951145.1
Basidiomycota,GCA_000500245.1
Basidiomycota,GCA_000464975.1
Basidiomycota,GCA_000500775.1
Basidiomycota,GCA_004379715.1
Basidiomycota,GCA_036937015.1
Basidiomycota,GCA_036936985.1
Basidiomycota,GCA_036417295.1
Basidiomycota,GCA_036427605.1
Basidiomycota,GCA_036426225.1
Basidiomycota,GCA_002954075.1
Basidiomycota,GCF_002954075.1
Basidiomycota,GCA_000091045.1
Basidiomycota,GCF_000091045.1
Basidiomycota,GCA_000185945.1
Basidiomycota,GCF_000185945.1
Basidiomycota,GCA_006352305.1
Basidiomycota,GCA_009650685.1
Basidiomycota,GCA_001720205.1
Basidiomycota,GCF_001720205.1
Basidiomycota,GCA_001720155.1
Basidiomycota,GCF_001720155.1
Basidiomycota,GCA_000855695.1
Basidiomycota,GCA_000835755.1
Basidiomycota,GCA_017654825.1
Basidiomycota,GCA_026538325.1
Basidiomycota,GCA_026538405.1
Basidiomycota,GCA_026538335.1
Basidiomycota,GCA_026538315.1
Basidiomycota,GCA_024271845.1
Basidiomycota,GCA_006992865.1
Basidiomycota,GCA_026538355.1
Basidiomycota,GCA_026538395.1
Basidiomycota,GCA_026538415.1
Basidiomycota,GCA_026538345.1
Basidiomycota,GCA_011801205.1
Basidiomycota,GCA_006149155.1
Basidiomycota,GCA_001720195.2
Basidiomycota,GCA_023650555.1
Basidiomycota,GCA_023650535.1
Basidiomycota,GCA_022832995.1
Basidiomycota,GCA_020975605.1
Basidiomycota,GCA_020975615.1
Basidiomycota,GCA_020975675.1
Basidiomycota,GCA_020975565.1
Basidiomycota,GCA_020975645.1
Basidiomycota,GCA_020975665.1
Basidiomycota,GCA_020975435.1
Basidiomycota,GCA_020975495.1
Basidiomycota,GCA_023650575.1
Basidiomycota,GCA_020975545.1
Basidiomycota,GCA_020975705.1
Basidiomycota,GCA_020975585.1
Basidiomycota,GCA_020975525.1
Basidiomycota,GCA_023650595.1
Basidiomycota,GCA_020975485.1
Basidiomycota,GCA_010233735.1
Basidiomycota,GCA_010233705.1
Basidiomycota,GCA_035658335.1
Basidiomycota,GCA_036428525.1
Basidiomycota,GCA_001720245.2
Basidiomycota,GCA_000149245.3
Basidiomycota,GCF_000149245.1
Basidiomycota,GCA_002216725.1
Basidiomycota,GCA_010065315.1
Basidiomycota,GCA_010065285.1
Basidiomycota,GCA_010065295.1
Basidiomycota,GCA_010065305.1
Basidiomycota,GCA_010065385.1
Basidiomycota,GCA_028982725.1
Basidiomycota,GCA_010065405.1
Basidiomycota,GCA_002216205.1
Basidiomycota,GCA_000149385.1
Basidiomycota,GCF_000149385.1
Basidiomycota,GCA_003011985.1
Basidiomycota,GCA_003011995.1
Basidiomycota,GCA_000786445.1
Basidiomycota,GCA_008355005.1
Basidiomycota,GCA_011057565.1
Basidiomycota,GCA_011057545.1
Basidiomycota,GCA_011057515.1
Basidiomycota,GCA_011057475.1
Basidiomycota,GCA_011057555.1
Basidiomycota,GCA_031840995.1
Basidiomycota,GCA_031841035.1
Basidiomycota,GCA_031842005.1
Basidiomycota,GCA_031841275.1
Basidiomycota,GCA_031840985.1
Basidiomycota,GCA_031841665.1
Basidiomycota,GCA_031841085.1
Basidiomycota,GCA_031840965.1
Basidiomycota,GCA_031841605.1
Basidiomycota,GCA_031841405.1
Basidiomycota,GCA_031841745.1
Basidiomycota,GCA_031841795.1
Basidiomycota,GCA_031841255.1
Basidiomycota,GCA_031840895.1
Basidiomycota,GCA_031841915.1
Basidiomycota,GCA_031841575.1
Basidiomycota,GCA_031840865.1
Basidiomycota,GCA_031841545.1
Basidiomycota,GCA_031841985.1
Basidiomycota,GCA_031840795.1
Basidiomycota,GCA_031841195.1
Basidiomycota,GCA_031841465.1
Basidiomycota,GCA_031841695.1
Basidiomycota,GCA_031840755.1
Basidiomycota,GCA_031841525.1
Basidiomycota,GCA_031840775.1
Basidiomycota,GCA_031841765.1
Basidiomycota,GCA_031841475.1
Basidiomycota,GCA_031841825.1
Basidiomycota,GCA_031841325.1
Basidiomycota,GCA_031841215.1
Basidiomycota,GCA_031841945.1
Basidiomycota,GCA_031841315.1
Basidiomycota,GCA_031841865.1
Basidiomycota,GCA_031841055.1
Basidiomycota,GCA_031841365.1
Basidiomycota,GCA_031840785.1
Basidiomycota,GCA_031841235.1
Basidiomycota,GCA_031841345.1
Basidiomycota,GCA_031840955.1
Basidiomycota,GCA_031841715.1
Basidiomycota,GCA_031841185.1
Basidiomycota,GCA_031841495.1
Basidiomycota,GCA_031841805.1
Basidiomycota,GCA_031841585.1
Basidiomycota,GCA_031841105.1
Basidiomycota,GCA_031841685.1
Basidiomycota,GCA_031841435.1
Basidiomycota,GCA_031841935.1
Basidiomycota,GCA_031841845.1
Basidiomycota,GCA_031841415.1
Basidiomycota,GCA_031841655.1
Basidiomycota,GCA_031840765.1
Basidiomycota,GCA_031841295.1
Basidiomycota,GCA_031841635.1
Basidiomycota,GCA_031841885.1
Basidiomycota,GCA_031840885.1
Basidiomycota,GCA_031840855.1
Basidiomycota,GCA_031840975.1
Basidiomycota,GCA_031840875.1
Basidiomycota,GCA_019970625.1
Basidiomycota,GCA_019970615.1
Basidiomycota,GCA_019969275.1
Basidiomycota,GCA_019970275.1
Basidiomycota,GCA_019970475.1
Basidiomycota,GCA_019970785.1
Basidiomycota,GCA_019970725.1
Basidiomycota,GCA_019970415.1
Basidiomycota,GCA_019970755.1
Basidiomycota,GCA_019970185.1
Basidiomycota,GCA_019970295.1
Basidiomycota,GCA_019970155.1
Basidiomycota,GCA_019970715.1
Basidiomycota,GCA_019970585.1
Basidiomycota,GCA_019970135.1
Basidiomycota,GCA_019970345.1
Basidiomycota,GCA_019970885.1
Basidiomycota,GCA_019970605.1
Basidiomycota,GCA_019970315.1
Basidiomycota,GCA_019970455.1
Basidiomycota,GCA_019970125.1
Basidiomycota,GCA_019970285.1
Basidiomycota,GCA_019970465.1
Basidiomycota,GCA_019970565.1
Basidiomycota,GCA_019970145.1
Basidiomycota,GCA_019970795.1
Basidiomycota,GCA_019969285.1
Basidiomycota,GCA_019970445.1
Basidiomycota,GCA_002220045.1
Basidiomycota,GCA_019969295.1
Basidiomycota,GCA_002222245.1
Basidiomycota,GCA_002222015.1
Basidiomycota,GCA_002222135.1
Basidiomycota,GCA_002222025.1
Basidiomycota,GCA_002222145.1
Basidiomycota,GCA_900177225.1
Basidiomycota,GCA_900177205.1
Basidiomycota,GCA_002222165.1
Basidiomycota,GCA_900177185.1
Basidiomycota,GCA_002215755.1
Basidiomycota,GCA_900177165.1
Basidiomycota,GCA_900177175.1
Basidiomycota,GCA_002222155.1
Basidiomycota,GCA_900177195.1
Basidiomycota,GCA_900177215.1
Basidiomycota,GCA_002215745.1
Basidiomycota,GCA_002222095.1
Basidiomycota,GCA_002222115.1
Basidiomycota,GCA_900177155.1
Basidiomycota,GCA_002217545.1
Basidiomycota,GCA_002215825.1
Basidiomycota,GCA_002215775.1
Basidiomycota,GCA_002222335.1
Basidiomycota,GCA_002215705.1
Basidiomycota,GCA_002215885.1
Basidiomycota,GCA_002222375.1
Basidiomycota,GCA_002224005.1
Basidiomycota,GCA_002215835.1
Basidiomycota,GCA_002222465.1
Basidiomycota,GCA_002222325.1
Basidiomycota,GCA_002222475.1
Basidiomycota,GCA_002234625.1
Basidiomycota,GCA_002222315.1
Basidiomycota,GCA_002222405.1
Basidiomycota,GCA_002220445.1
Basidiomycota,GCA_002222395.1
Basidiomycota,GCA_002222385.1
Basidiomycota,GCA_002222255.1
Basidiomycota,GCA_002222225.1
Basidiomycota,GCA_002222455.1
Basidiomycota,GCA_002222215.1
Basidiomycota,GCA_002222295.1
Basidiomycota,GCA_002215765.1
Basidiomycota,GCA_002221985.1
Basidiomycota,GCA_002215855.1
Basidiomycota,GCA_002220035.1
Basidiomycota,GCA_031841975.1
Basidiomycota,GCA_014964225.1
Basidiomycota,GCA_000875815.1
Basidiomycota,GCA_000935105.1
Basidiomycota,GCA_000836355.1
Basidiomycota,GCA_000835745.1
Basidiomycota,GCA_012922885.1
Basidiomycota,GCA_000875795.1
Basidiomycota,GCA_000836375.1
Basidiomycota,GCA_000835815.1
Basidiomycota,GCA_000875855.1
Basidiomycota,GCA_000835765.1
Basidiomycota,GCA_000836455.1
Basidiomycota,GCA_000836315.1
Basidiomycota,GCA_000499585.1
Basidiomycota,GCA_000836335.1
Basidiomycota,GCA_001720235.1
Basidiomycota,GCA_028975465.1
Basidiomycota,GCA_025531435.1
Basidiomycota,GCA_030913545.1
Basidiomycota,GCA_025531515.1
Basidiomycota,GCA_900079645.1
Basidiomycota,GCA_025738555.1
Basidiomycota,GCA_036937155.1
Basidiomycota,GCA_036940585.1
Basidiomycota,GCA_015501535.1
Basidiomycota,GCA_000934385.1
Basidiomycota,GCA_022813105.1
Basidiomycota,GCA_022835595.1
Basidiomycota,GCA_001599955.1
Basidiomycota,GCA_024345325.1
Basidiomycota,GCA_019775285.1
Basidiomycota,GCA_022835575.1
Basidiomycota,GCA_022835615.1
Basidiomycota,GCA_019775485.1
Basidiomycota,GCA_022835635.1
Basidiomycota,GCA_022835655.1
Basidiomycota,GCA_019775515.1
Basidiomycota,GCA_022592445.1
Basidiomycota,GCA_000292625.1
Basidiomycota,GCF_000292625.1
Basidiomycota,GCA_001632345.1
Basidiomycota,GCA_004369135.1
Basidiomycota,GCA_002286715.1
Basidiomycota,GCA_004679275.1
Basidiomycota,GCA_000275845.1
Basidiomycota,GCF_000275845.1
Basidiomycota,GCA_004307905.1
Basidiomycota,GCA_004307925.1
Basidiomycota,GCA_004307915.1
Basidiomycota,GCA_001600615.1
Basidiomycota,GCA_001600655.1
Basidiomycota,GCA_025882075.1
Basidiomycota,GCF_025882075.1
Basidiomycota,GCA_024115145.1
Basidiomycota,GCA_022605405.1
Basidiomycota,GCA_022376455.1
Basidiomycota,GCF_022376455.1
Basidiomycota,GCA_001972285.1
Basidiomycota,GCA_001600175.1
Basidiomycota,GCA_001632375.1
Basidiomycota,GCA_023273805.1
Basidiomycota,GCA_026210745.1
Basidiomycota,GCA_000313525.1
Basidiomycota,GCF_000313525.1
Basidiomycota,GCA_001600055.1
Basidiomycota,GCA_021052385.1
Basidiomycota,GCF_021052385.1
Basidiomycota,GCA_019201745.1
Basidiomycota,GCA_000934395.1
Basidiomycota,GCA_021399455.1
Basidiomycota,GCA_022606135.1
Basidiomycota,GCA_000271605.1
Basidiomycota,GCF_000271605.1
Basidiomycota,GCA_029783445.1
Basidiomycota,GCA_022606075.1
Basidiomycota,GCA_001931775.1
Basidiomycota,GCA_000344655.2
Basidiomycota,GCA_001937815.1
Basidiomycota,GCA_023014335.1
Basidiomycota,GCA_023014345.1
Basidiomycota,GCA_000697645.1
Basidiomycota,GCA_002900995.3
Basidiomycota,GCA_019426095.1
Basidiomycota,GCA_026283605.1
Basidiomycota,GCA_002760635.1
Basidiomycota,GCA_024305745.1
Basidiomycota,GCA_020736865.1
Basidiomycota,GCA_000338015.2
Basidiomycota,GCA_022814645.1
Basidiomycota,GCA_008694245.1
Basidiomycota,GCA_012655175.1
Basidiomycota,GCA_963378725.1
Basidiomycota,GCA_033032785.1
Basidiomycota,GCA_000271565.1
Basidiomycota,GCA_000262775.1
Basidiomycota,GCA_000338035.1
Basidiomycota,GCA_020976605.1
Basidiomycota,GCA_022836635.1
Basidiomycota,GCA_001855635.1
Basidiomycota,GCA_022813035.1
Basidiomycota,GCA_003057275.1
Basidiomycota,GCA_015179125.1
Basidiomycota,GCA_022496205.1
Basidiomycota,GCA_000344685.1
Basidiomycota,GCF_000344685.1
Basidiomycota,GCA_019112545.1
Basidiomycota,GCF_019112545.1
Basidiomycota,GCA_015501075.1
Basidiomycota,GCA_002938385.1
Basidiomycota,GCA_900068935.1
Basidiomycota,GCA_009733575.1
Basidiomycota,GCA_014904945.1
Basidiomycota,GCA_000827355.1
Basidiomycota,GCA_004369045.1
Basidiomycota,GCA_006506795.2
Basidiomycota,GCA_033439255.1
Basidiomycota,GCA_003675405.1
Basidiomycota,GCA_004681135.1
Basidiomycota,GCA_016906435.1
Basidiomycota,GCA_001457955.1
Basidiomycota,GCA_000320585.2
Basidiomycota,GCF_000320585.1
Basidiomycota,GCA_002994785.1
Basidiomycota,GCA_001457895.1
Basidiomycota,GCA_001457995.1
Basidiomycota,GCA_000633895.1
Basidiomycota,GCA_902749255.1
Basidiomycota,GCA_902749295.1
Basidiomycota,GCA_902749315.1
Basidiomycota,GCA_902749275.1
Basidiomycota,GCA_902749245.1
Basidiomycota,GCA_902749265.1
Basidiomycota,GCA_001457935.1
Basidiomycota,GCA_902749305.1
Basidiomycota,GCA_902749325.1
Basidiomycota,GCA_902749285.1
Basidiomycota,GCA_001458015.1
Basidiomycota,GCA_001457915.1
Basidiomycota,GCA_000827185.1
Basidiomycota,GCA_014904985.1
Basidiomycota,GCA_021014935.1
Basidiomycota,GCA_015501595.1
Basidiomycota,GCA_036872995.1
Basidiomycota,GCA_003314085.1
Basidiomycota,GCA_003314005.1
Basidiomycota,GCA_016801325.1
Basidiomycota,GCA_000827495.1
Basidiomycota,GCA_015178975.1
Basidiomycota,GCA_001986395.2
Basidiomycota,GCA_022160335.1
Basidiomycota,GCA_037042295.1
Basidiomycota,GCA_037039805.1
Basidiomycota,GCA_037040455.1
Basidiomycota,GCA_037041695.1
Basidiomycota,GCA_022606095.1
Basidiomycota,GCA_037042435.1
Basidiomycota,GCA_000697665.1
Basidiomycota,GCA_003144245.1
Basidiomycota,GCF_003144245.1
Basidiomycota,GCA_002102565.1
Basidiomycota,GCF_002102565.1
Basidiomycota,GCA_000143565.1
Basidiomycota,GCF_000143565.1
Basidiomycota,GCA_000827195.1
Basidiomycota,GCA_018417955.1
Basidiomycota,GCA_018417965.1
Basidiomycota,GCA_018423945.1
Basidiomycota,GCA_018423875.1
Basidiomycota,GCA_963281015.1
Basidiomycota,GCA_951394315.1
Basidiomycota,GCA_024734325.1
Basidiomycota,GCA_021525775.1
Basidiomycota,GCA_025766275.1
Basidiomycota,GCA_021524915.1
Basidiomycota,GCA_021527775.1
Basidiomycota,GCA_021527035.1
Basidiomycota,GCA_021525015.1
Basidiomycota,GCA_025769895.1
Basidiomycota,GCA_015025155.1
Basidiomycota,GCA_021525025.1
Basidiomycota,GCA_003315845.1
Basidiomycota,GCA_003314065.1
Basidiomycota,GCA_003315925.1
Basidiomycota,GCA_021525005.1
Basidiomycota,GCA_006680135.1
Basidiomycota,GCA_003316005.1
Basidiomycota,GCA_003315955.1
Basidiomycota,GCA_963281095.1
Basidiomycota,GCA_003313985.1
Basidiomycota,GCA_951394305.1
Basidiomycota,GCA_022376515.1
Basidiomycota,GCA_022496195.1
Basidiomycota,GCA_003315875.1
Basidiomycota,GCA_003314055.1
Basidiomycota,GCA_003313945.1
Basidiomycota,GCA_003315975.1
Basidiomycota,GCA_003315895.1
Basidiomycota,GCA_003315835.1
Basidiomycota,GCA_001632365.1
Basidiomycota,GCF_001632365.1
Basidiomycota,GCA_927399515.3
Basidiomycota,GCA_024321985.1
Basidiomycota,GCA_927399535.3
Basidiomycota,GCA_003521245.1
Basidiomycota,GCA_016068325.1
Basidiomycota,GCA_021015755.1
Basidiomycota,GCF_021015755.1
Basidiomycota,GCA_027921405.1
Basidiomycota,GCA_027919835.1
Basidiomycota,GCA_028011355.1
Basidiomycota,GCA_027919855.1
Basidiomycota,GCA_028011325.1
Basidiomycota,GCA_027886325.1
Basidiomycota,GCA_027886635.1
Basidiomycota,GCA_027921425.1
Basidiomycota,GCA_027886305.1
Basidiomycota,GCA_030770125.1
Basidiomycota,GCA_030770075.1
Basidiomycota,GCA_015476405.1
Basidiomycota,GCA_030246715.1
Basidiomycota,GCA_030246695.1
Basidiomycota,GCA_028011485.1
Basidiomycota,GCA_001562095.1
Basidiomycota,GCA_001700625.1
Basidiomycota,GCA_027917475.1
Basidiomycota,GCA_027917485.1
Basidiomycota,GCA_027887095.1
Basidiomycota,GCA_027886755.1
Basidiomycota,GCA_002000105.1
