PHY,SUBPHY,ACC
Ascomycota,Pezizomycotina,GCA_023653635.1
Ascomycota,Pezizomycotina,GCA_003953595.1
Ascomycota,Pezizomycotina,GCA_003953695.1
Ascomycota,Pezizomycotina,GCA_024676795.1
Ascomycota,Pezizomycotina,GCA_013436355.1
Ascomycota,Pezizomycotina,GCA_013305975.1
Ascomycota,Pezizomycotina,GCA_004917145.1
Ascomycota,Pezizomycotina,GCA_004917155.1
Ascomycota,Pezizomycotina,GCA_937873235.1
Ascomycota,Pezizomycotina,GCA_030777905.1
Ascomycota,Pezizomycotina,GCA_032354195.1
Ascomycota,Pezizomycotina,GCA_030772035.1
Ascomycota,Pezizomycotina,GCA_030777605.1
Ascomycota,Pezizomycotina,GCA_030771935.1
Ascomycota,Pezizomycotina,GCA_030778565.1
Ascomycota,Pezizomycotina,GCA_030786985.1
Ascomycota,Pezizomycotina,GCA_030772855.1
Ascomycota,Pezizomycotina,GCA_030777585.1
Ascomycota,Pezizomycotina,GCA_030787925.1
Ascomycota,Pezizomycotina,GCA_001684215.1
Ascomycota,Pezizomycotina,GCA_003574815.1
Ascomycota,Pezizomycotina,GCA_020499915.1
Ascomycota,Pezizomycotina,GCA_020500565.1
Ascomycota,Pezizomycotina,GCA_020503065.1
Ascomycota,Pezizomycotina,GCA_020499335.1
Ascomycota,Pezizomycotina,GCA_020500535.1
Ascomycota,Pezizomycotina,GCA_020500075.1
Ascomycota,Pezizomycotina,GCA_020501835.1
Ascomycota,Pezizomycotina,GCA_020498765.1
Ascomycota,Pezizomycotina,GCA_020501355.1
Ascomycota,Pezizomycotina,GCA_020499245.1
Ascomycota,Pezizomycotina,GCA_037040925.1
Ascomycota,Pezizomycotina,GCA_020726465.1
Ascomycota,Pezizomycotina,GCA_023628595.1
Ascomycota,Pezizomycotina,GCA_023628515.1
Ascomycota,Pezizomycotina,GCA_025503015.1
Ascomycota,Pezizomycotina,GCA_003788595.2
Ascomycota,Pezizomycotina,GCA_002927785.1
Ascomycota,Pezizomycotina,GCA_034447905.1
Ascomycota,Pezizomycotina,GCF_034447905.1
Ascomycota,Pezizomycotina,GCA_001672515.1
Ascomycota,Pezizomycotina,GCF_001672515.1
Ascomycota,Pezizomycotina,GCA_022179045.1
Ascomycota,Pezizomycotina,GCA_014235955.1
Ascomycota,Pezizomycotina,GCA_014235935.1
Ascomycota,Pezizomycotina,GCA_000313795.2
Ascomycota,Pezizomycotina,GCA_002249805.1
Ascomycota,Pezizomycotina,GCA_002968875.1
Ascomycota,Pezizomycotina,GCA_003025255.1
Ascomycota,Pezizomycotina,GCA_010211705.1
Ascomycota,Pezizomycotina,GCA_001644785.1
Ascomycota,Pezizomycotina,GCA_020744425.1
Ascomycota,Pezizomycotina,GCA_000800745.1
Ascomycota,Pezizomycotina,GCA_023089405.1
Ascomycota,Pezizomycotina,GCA_000836115.1
Ascomycota,Pezizomycotina,GCF_000836115.1
Ascomycota,Pezizomycotina,GCA_025433615.1
Ascomycota,Pezizomycotina,GCA_000151355.1
Ascomycota,Pezizomycotina,GCF_000151355.1
Ascomycota,Pezizomycotina,GCA_003946995.1
Ascomycota,Pezizomycotina,GCA_013623725.1
Ascomycota,Pezizomycotina,GCA_020744515.1
Ascomycota,Pezizomycotina,GCA_018104275.1
Ascomycota,Pezizomycotina,GCA_954870535.1
Ascomycota,Pezizomycotina,GCA_003698175.1
Ascomycota,Pezizomycotina,GCA_033030565.1
Ascomycota,Pezizomycotina,GCA_014898995.1
Ascomycota,Pezizomycotina,GCA_024115165.1
Ascomycota,Pezizomycotina,GCA_020744455.1
Ascomycota,Pezizomycotina,GCA_011034445.1
Ascomycota,Pezizomycotina,GCA_023509805.1
Ascomycota,Pezizomycotina,GCA_026229875.1
Ascomycota,Pezizomycotina,GCA_020744115.1
Ascomycota,Pezizomycotina,GCA_000769215.1
Ascomycota,Pezizomycotina,GCA_012959155.1
Ascomycota,Pezizomycotina,GCA_003957675.1
Ascomycota,Pezizomycotina,GCA_022180325.1
Ascomycota,Pezizomycotina,GCA_022180345.1
Ascomycota,Pezizomycotina,GCA_028566675.1
Ascomycota,Pezizomycotina,GCA_001913115.1
Ascomycota,Pezizomycotina,GCA_030370845.1
Ascomycota,Pezizomycotina,GCA_030370825.1
Ascomycota,Pezizomycotina,GCA_030371095.1
Ascomycota,Pezizomycotina,GCA_030371195.1
Ascomycota,Pezizomycotina,GCA_030370895.1
Ascomycota,Pezizomycotina,GCA_030371205.1
Ascomycota,Pezizomycotina,GCA_030371025.1
Ascomycota,Pezizomycotina,GCA_030371075.1
Ascomycota,Pezizomycotina,GCA_030371145.1
Ascomycota,Pezizomycotina,GCA_030371055.1
Ascomycota,Pezizomycotina,GCA_030370985.1
Ascomycota,Pezizomycotina,GCA_030370915.1
Ascomycota,Pezizomycotina,GCA_030370945.1
Ascomycota,Pezizomycotina,GCA_030370815.1
Ascomycota,Pezizomycotina,GCA_021432625.1
Ascomycota,Pezizomycotina,GCA_010405375.1
Ascomycota,Pezizomycotina,GCA_010015825.1
Ascomycota,Pezizomycotina,GCA_001936555.1
Ascomycota,Pezizomycotina,GCA_001936065.1
Ascomycota,Pezizomycotina,GCA_037177735.1
Ascomycota,Pezizomycotina,GCA_037177765.1
Ascomycota,Saccharomycotina,GCA_900232065.1
Ascomycota,Pezizomycotina,GCA_020744255.1
Ascomycota,Pezizomycotina,GCF_020744255.1
Ascomycota,Pezizomycotina,GCA_024521645.1
Ascomycota,Pezizomycotina,GCA_023088165.1
Ascomycota,Pezizomycotina,GCA_009806015.1
Ascomycota,Pezizomycotina,GCA_009806235.1
Ascomycota,Pezizomycotina,GCA_009804945.1
Ascomycota,Pezizomycotina,GCA_009805125.1
Ascomycota,Pezizomycotina,GCA_009805485.1
Ascomycota,Pezizomycotina,GCA_009805915.1
Ascomycota,Pezizomycotina,GCA_009803025.1
Ascomycota,Pezizomycotina,GCA_009806135.1
Ascomycota,Pezizomycotina,GCA_009806125.1
Ascomycota,Pezizomycotina,GCA_009801605.1
Ascomycota,Pezizomycotina,GCA_029298715.1
Ascomycota,Pezizomycotina,GCA_003116535.1
Ascomycota,Pezizomycotina,GCA_000497085.1
Ascomycota,Pezizomycotina,GCA_028827245.1
Ascomycota,Pezizomycotina,GCF_028827245.1
Ascomycota,Pezizomycotina,GCA_024516245.1
Ascomycota,Pezizomycotina,GCA_963974035.1
Ascomycota,Pezizomycotina,GCA_020746995.1
Ascomycota,Pezizomycotina,GCA_033296975.1
Ascomycota,Pezizomycotina,GCA_033296975.1
Ascomycota,Pezizomycotina,GCA_033296975.1
Ascomycota,Pezizomycotina,GCA_022695795.1
Ascomycota,Pezizomycotina,GCA_023086925.1
Ascomycota,Pezizomycotina,GCA_023088355.1
Ascomycota,Pezizomycotina,GCA_023085745.1
Ascomycota,Pezizomycotina,GCA_023088785.1
Ascomycota,Pezizomycotina,GCA_019395255.1
Ascomycota,Pezizomycotina,GCA_004786125.1
Ascomycota,Pezizomycotina,GCA_004916875.1
Ascomycota,Pezizomycotina,GCA_022578605.1
Ascomycota,Pezizomycotina,GCA_001653265.1
Ascomycota,Pezizomycotina,GCA_023168115.2
Ascomycota,Pezizomycotina,GCA_001653205.1
Ascomycota,Pezizomycotina,GCA_030777725.1
Ascomycota,Pezizomycotina,GCA_000465215.2
Ascomycota,Pezizomycotina,GCA_022788425.1
Ascomycota,Saccharomycotina,GCA_001483335.1
Ascomycota,Pezizomycotina,GCA_029531795.1
Ascomycota,Pezizomycotina,GCA_001644525.1
Ascomycota,Pezizomycotina,GCA_001644525.1
Ascomycota,Pezizomycotina,GCA_021365285.1
Ascomycota,Pezizomycotina,GCF_021365285.1
Ascomycota,Pezizomycotina,GCA_015179025.1
Ascomycota,Pezizomycotina,GCA_021432635.1
Ascomycota,Pezizomycotina,GCA_001481775.2
Ascomycota,Pezizomycotina,GCF_001481775.2
Ascomycota,Pezizomycotina,GCA_015178995.1
Ascomycota,Pezizomycotina,GCA_020726525.1
Ascomycota,Pezizomycotina,GCF_020726525.1
Ascomycota,Pezizomycotina,GCA_021193595.1
Ascomycota,Pezizomycotina,GCA_003070745.1
Ascomycota,Pezizomycotina,GCA_014065205.1
Ascomycota,Pezizomycotina,GCA_014065215.1
Ascomycota,Pezizomycotina,GCA_000687475.2
Ascomycota,Pezizomycotina,GCF_000687475.1
Ascomycota,Pezizomycotina,GCA_000965225.2
Ascomycota,Pezizomycotina,GCA_022578905.1
Ascomycota,Pezizomycotina,GCA_010093925.1
